Smiles                                                       G4_Cv      Exp_Cv     Dev       
CC(C)C(C)Br                                                  123.97     125.70     -1.73     
CC(C)C(C)C                                                   130.68     130.70     -0.02     
CC(C)C(C)C#C                                                 140.54     144.00     -3.46     
CC(C)C(C)C(C)(C)C                                            199.10     195.69     3.41      
CC(C)C(C)C(C)=C                                              168.07     170.00     -1.93     
CC(C)C(C)C(C)C                                               176.10     182.80     -6.70     
CC(C)C(C)C=C                                                 145.59     146.80     -1.21     
CC(C)C(C)O                                                   125.98     126.10     -0.12     
CC(C)C(O)=O                                                  105.55     95.80      9.75      
CC(C)C(O)C(C)C                                               171.22     170.10     1.12      
CC(C)C=C                                                     100.25     105.30     -5.05     
CC(C)C=C(C)C                                                 145.83     143.30     2.53      
CC(C)C=O                                                     92.16      90.80      1.36      
CC(C)CBr                                                     100.56     103.00     -2.44     
CC(C)CC#C                                                    117.66     121.30     -3.64     
CC(C)CC(C)(C)C                                               177.25     179.50     -2.25     
CC(C)CC(C)=C                                                 144.87     147.20     -2.33     
CC(C)CC(C)=O                                                 138.56     138.70     -0.14     
CC(C)CC(C)C                                                  153.10     161.90     -8.80     
CC(C)CC(C)O                                                  148.21     142.69     5.53      
CC(C)CC(O)=O                                                 127.85     127.90     -0.05     
CC(C)CC=C                                                    122.26     120.20     2.06      
CC(C)CC=O                                                    114.62     114.69     -0.07     
CC(C)CCBr                                                    122.80     125.90     -3.10     
CC(C)CCCl                                                    120.58     125.60     -5.02     
CC(C)CCO                                                     124.58     122.80     1.78      
CC(C)CCS                                                     130.87     132.90     -2.03     
CC(C)CCl                                                     98.76      100.30     -1.54     
CC(C)CN                                                      105.73     106.69     -0.95     
CC(C)CO                                                      102.86     102.90     -0.04     
CC(C)CS                                                      109.17     111.90     -2.73     
CC(C)Cl                                                      75.79      79.10      -3.31     
CC(C)F                                                       72.17      75.00      -2.83     
CC(C)N                                                       83.34      89.30      -5.96     
CC(C)NC(C)C                                                  151.22     150.60     0.62      
CC(C)O                                                       80.61      81.10      -0.49     
CC(C)OC(C)=O                                                 130.41     121.69     8.73      
CC(C)OC(C)C                                                  148.02     151.30     -3.28     
CC(C)S                                                       86.74      87.80      -1.06     
CC(C)SC(C)C                                                  156.00     161.60     -5.60     
CC(C)[CH]=[C]=[CH2]                                          115.91     114.90     1.01      
CC(C=C)C(C)(C)C                                              170.10     169.60     0.50      
CC(C=C)C=C                                                   114.96     122.10     -7.14     
CC(CO)CO                                                     115.89     113.69     2.21      
CC(Cl)(Cl)Cl                                                 83.78      84.30      -0.52     
CC(Cl)=C                                                     67.77      70.10      -2.33     
CC(Cl)=O                                                     60.49      59.60      0.89      
CC(Cl)CCl                                                    89.92      91.30      -1.38     
CC(Cl)Cl                                                     66.68      68.30      -1.62     
CC(F)(Cl)Cl                                                  79.24      80.20      -0.96     
CC(F)(F)C(F)(F)F                                             114.59     109.60     4.99      
CC(F)(F)Cl                                                   74.11      74.70      -0.59     
CC(F)(F)F                                                    68.55      70.10      -1.55     
CC(F)=C                                                      64.12      68.10      -3.98     
CC(F)=O                                                      55.09      53.90      1.19      
CC(F)CF                                                      82.04      88.10      -6.06     
CC(F)Cl                                                      62.59      64.50      -1.91     
CC(F)F                                                       57.81      59.80      -1.99     
CC(N)=O                                                      70.13      57.00      13.13     
CC(N)CN                                                      102.73     104.69     -1.96     
CC(O)=O                                                      60.69      55.20      5.49      
CC(O)C(C)C(C)O                                               166.23     159.69     6.54      
CC(O)C(C)O                                                   118.63     116.30     2.33      
CC(O)C(O)CO                                                  132.16     131.69     0.48      
CC(O)C=C                                                     94.67      72.90      21.77     
CC(O)CC(C)(C)O                                               164.63     164.69     -0.06     
CC(O)CC(C)O                                                  143.17     140.00     3.17      
CC(O)CCO                                                     116.62     114.69     1.93      
CC(O)CO                                                      95.30      93.70      1.60      
CC/C=C/Cl                                                    90.24      87.69      2.55      
CC=C                                                         54.31      56.20      -1.89     
CC=C(C)C                                                     100.64     96.70      3.94      
CC=C=O                                                       62.01      63.09      -1.08     
CC=O                                                         46.94      46.80      0.14      
CCBr                                                         54.24      55.90      -1.66     
CCC                                                          62.04      65.30      -3.26     
CCC#C                                                        72.46      73.00      -0.54     
CCC#CC                                                       93.37      90.30      3.07      
CCC#N                                                        63.50      65.50      -2.00     
CCC(=C)C(C)(C)C                                              168.41     170.00     -1.59     
CCC(=C)C(C)C                                                 144.76     147.20     -2.44     
CCC(=C)C=C                                                   112.97     122.10     -9.13     
CCC(=C)CC                                                    121.65     121.50     0.15      
CCC(=O)CC                                                    115.88     121.50     -5.62     
CCC(=O)OC                                                    106.65     103.00     3.65      
CCC(Br)CC                                                    123.69     125.90     -2.21     
CCC(C(C)C)C(C)C                                              198.26     195.69     2.57      
CCC(C)(C)C                                                   132.51     132.80     -0.29     
CCC(C)(C)C#C                                                 142.51     144.10     -1.59     
CCC(C)(C)C(C)(C)C                                            201.43     203.79     -2.36     
CCC(C)(C)C(C)=C                                              168.95     170.00     -1.05     
CCC(C)(C)C(C)C                                               177.63     178.00     -0.37     
CCC(C)(C)C=C                                                 146.75     146.90     -0.15     
CCC(C)(C)CC                                                  154.70     156.90     -2.20     
CCC(C)(C)F                                                   120.77     120.00     0.77      
CCC(C)(C)O                                                   128.22     133.60     -5.38     
CCC(C)(C)OC                                                  149.00     151.70     -2.70     
CCC(C)(CC)C#C                                                165.08     161.20     3.88      
CCC(C)(CC)C=C                                                169.38     169.80     -0.42     
CCC(C)(CC)CC                                                 177.36     179.20     -1.84     
CCC(C)(O)CC                                                  150.60     146.69     3.91      
CCC(C)=C                                                     99.64      101.70     -2.06     
CCC(C)=C(C)C                                                 146.67     143.60     3.07      
CCC(C)=O                                                     93.65      94.40      -0.75     
CCC(C)Br                                                     100.98     104.40     -3.42     
CCC(C)C                                                      108.00     110.50     -2.50     
