Smiles                                                       TCIT_S0    Exp_S0     Dev       
CC\C=C(/C)C=O                                                399.44     409.00     -9.56     
CC\C=C/CC                                                    383.59     378.00     5.59      
CC\C=C\CC                                                    383.59     376.00     7.59      
CCc1ccc(C)cc1                                                405.58     399.00     6.58      
CCc1ccc(O)cc1                                                394.24     391.00     3.24      
CCc1cccc(C)c1                                                407.40     404.00     3.40      
CCc1ccccc1                                                   366.66     361.00     5.66      
CCc1ccccc1C                                                  403.65     400.00     3.65      
CCc1ccccc1N                                                  385.24     396.00     -10.76    
CCc1ccccc1O                                                  391.43     393.00     -1.57     
CCc1cccnc1                                                   354.12     364.00     -9.88     
CN1CCCC1                                                     335.19     329.00     6.19      
CN1CCCC1=O                                                   355.85     343.00     12.85     
CNC1CCCCC1                                                   345.57     378.00     -32.43    
CNc1ccccc1                                                   356.34     341.00     15.34     
COC(=O)\C=C/C(=O)OC                                          479.13     499.00     -19.87    
COC(=O)c1ccccc1                                              408.51     415.00     -6.49     
COC(=O)c1ccccc1O                                             419.35     456.00     -36.65    
COC1CCCCO1                                                   368.07     367.40     0.67      
COCCC#N                                                      362.17     364.00     -1.83     
COCCOC                                                       385.86     385.00     0.86      
COCCOCCO                                                     459.39     476.00     -16.61    
COCCOCCOC                                                    501.60     503.00     -1.40     
COCCOCCOCCOC                                                 617.33     622.00     -4.67     
COc1ccc(C(=O)O)cc1                                           430.94     413.00     17.94     
COc1ccccc1                                                   356.04     361.00     -4.96     
COc1ccccc1O                                                  370.86     399.00     -28.14    
C[C@@H]1CCC[C@H](O)C1                                        358.10     389.00     -30.90    
C[C@@H]1CC[C@@H](C)C1                                        332.32     367.00     -34.68    
C[C@@H]1CC[C@@H](C)C1C                                       358.25     390.00     -31.75    
C[C@@H]1CC[C@H](C)C1                                         332.32     367.00     -34.68    
C[C@@H]1CO1                                                  280.66     287.00     -6.34     
C[C@@H]1C[C@@H]1C                                            301.88     310.00     -8.12     
C[C@@H]1C[C@H]1C                                             301.88     317.00     -15.12    
C[C@H]1CCCC[C@@H]1C                                          342.94     371.00     -28.06    
C[C@H]1CCCC[C@H]1C                                           342.94     374.00     -31.06    
C[C@H]1CCC[C@@H](C)C1                                        347.50     371.00     -23.50    
C[C@H]1CCC[C@@H](O)C1                                        358.10     389.00     -30.90    
C[C@H]1CCC[C@H](C)C1                                         347.50     376.00     -28.50    
C[C@H]1CC[C@@H](C)CC1                                        360.85     370.87     -10.02    
C[C@H]1CC[C@H](C)CC1                                         360.85     365.89     -5.04     
C\C=C/C=C\C                                                  364.54     357.00     7.54      
C\C=C/CC=C                                                   369.48     379.00     -9.52     
Cc1c(C)c(C)c(C)c(C)c1C                                       487.77     461.00     26.77     
Cc1cc(C)c(C)cc1C                                             413.64     419.00     -5.36     
Cc1cc(C)cc(C)c1                                              423.36     385.30     38.06     
Cc1cc(C)cc(O)c1                                              412.03     392.00     20.03     
Cc1cc(C)nc(C)c1                                              413.80     390.00     23.80     
Cc1ccc(Br)cc1                                                399.82     364.00     35.82     
Cc1ccc(C)c(C)c1                                              393.04     396.00     -2.96     
Cc1ccc(C)c(O)c1                                              390.26     394.00     -3.74     
Cc1ccc(C)cc1                                                 376.50     352.00     24.50     
Cc1ccc(Cl)c(Cl)c1                                            397.03     383.00     14.03     
Cc1ccc(Cl)cc1C                                               380.99     385.00     -4.01     
Cc1ccc(Cl)cc1Cl                                              377.17     379.00     -1.83     
Cc1ccc(F)cc1                                                 362.95     339.00     23.95     
Cc1ccc(N)c(C)c1                                              384.87     394.00     -9.13     
Cc1ccc(N)cc1                                                 358.15     347.00     11.15     
Cc1ccc(O)c(C)c1                                              390.06     396.00     -5.94     
Cc1ccc(O)cc1                                                 362.79     351.00     11.79     
Cc1ccc(O)cc1C                                                384.35     391.00     -6.65     
Cc1cccc(C)c1                                                 380.03     359.00     21.03     
Cc1cccc(C)c1C                                                387.94     387.00     0.94      
Cc1cccc(C)c1O                                                377.47     390.00     -12.53    
Cc1cccc(C)n1                                                 353.91     356.00     -2.09     
Cc1cccc(C=C)c1                                               391.40     383.00     8.40      
Cc1cccc(C=O)c1                                               387.04     395.00     -7.96     
Cc1cccc(Cl)c1                                                370.30     338.00     32.30     
Cc1cccc(Cl)c1C                                               378.21     385.00     -6.79     
Cc1cccc(F)c1                                                 364.13     339.00     25.13     
Cc1cccc(N)c1                                                 361.45     352.00     9.45      
Cc1cccc(O)c1                                                 369.10     356.00     13.10     
Cc1ccccc1                                                    335.18     321.00     14.18     
Cc1ccccc1C                                                   354.48     354.00     0.48      
Cc1ccccc1C=C                                                 381.99     379.00     2.99      
Cc1ccccc1Cl                                                  347.77     348.00     -0.23     
Cc1ccccc1F                                                   343.97     339.00     4.97      
Cc1ccccc1N                                                   347.60     350.00     -2.40     
Cc1ccccn1                                                    303.28     325.00     -21.72    
Cc1cccnc1                                                    320.66     325.00     -4.34     
Cc1ccnc(C)c1                                                 368.15     361.00     7.15      
Cc1ccncc1                                                    322.09     319.00     3.09      
Cc1ccncc1C                                                   345.41     357.00     -11.59    
Cc1cocc1                                                     308.14     310.00     -1.86     
Cc1cscc1                                                     325.07     321.00     4.07      
Cc1occc1                                                     306.20     309.00     -2.80     
Cc1sc(C)c(C)c1                                               396.93     370.00     26.93     
Cc1sccc1                                                     320.65     321.00     -0.35     
Cc1sccc1C                                                    358.88     353.00     5.88      
ClC(=O)c1ccccc1                                              374.90     370.00     4.90      
ClC(Cl)(Cl)c1ccccc1                                          403.42     401.00     2.42      
