smiles,S0_G4,Cv_G4,S0_Exp,Cv_Exp
CC(C)(C)C#C,335.8917,120.0588,336.0,115.2
CC(C)(C)C#N,331.4887,111.2891,331.0,116.2
CC(C)(C)C(=O)C(C)(C)C,467.9123,209.4796,,207.7
CC(C)(C)C(C)(C)C,393.3924,178.9864,390.0,180.8
CC(C)(C)C=C,356.1055,124.2723,342.0,118.2
CC(C)(C)C=O,358.6241,117.0465,,116.0
CC(C)(C)CBr,377.9267,125.1635,,125.8
CC(C)(C)CC#C,380.0049,142.2384,383.0,144.1
CC(C)(C)CC(C)(C)C,441.8907,201.1033,430.16,203.686
CC(C)(C)CO,361.7238,127.1969,370.0,125.2
CC(C)(C)Cl,319.6359,100.7757,318.0,104.4
CC(C)(C)F,312.2917,97.6084,305.0,101.0
CC(C)(C)N,326.0492,108.2013,,112.1
CC(C)(C)O,325.7674,105.8332,327.0,105.4
CC(C)(C)OC(C)(C)C,439.3722,197.526,,196.686
CC(C)(C)OC=O,385.8009,132.2598,372.0,125.2
CC(C)(C)OO,361.3803,124.5066,364.0,124.2
CC(C)(C)S,338.3247,111.4648,338.0,114.1
CC(C)(CO)CO,389.8679,144.1549,410.0,139.2
CC(C)(Cl)Cl,323.4298,92.1902,325.0,97.4
CC(C)=C,290.1961,76.814,293.0,79.8
CC(C)=C(C)C,363.4576,124.8453,365.0,116.7
CC(C)=C=O,312.2286,84.0471,,86.8
CC(C)=CC(C)(C)C,419.3763,170.3716,409.0,171.3
CC(C)=CC(C)=O,390.6249,129.5651,398.0,140.5
CC(C)=CC=C,355.7917,113.9148,374.0,114.9
CC(C)=O,298.2976,70.6802,295.0,66.2
CC(C)Br,315.4733,77.5043,316.0,80.6
CC(C)C,294.4949,84.8723,295.0,88.4
CC(C)C#C,319.3391,95.2268,,98.686
CC(C)C#N,314.6367,86.4194,314.0,90.9
CC(C)C(=C)C(C)C,428.7907,167.5183,440.0,169.9
CC(C)C(=O)C(C)C,429.2634,160.9997,441.0,141.2
CC(C)C(C)(C)C,399.0082,155.2966,,154.5
CC(C)C(C)(C)C(C)C,453.8492,200.8229,,208.686
CC(C)C(C)(C)C=C,420.8175,169.7819,426.0,169.6
CC(C)C(C)=C,366.0726,122.7828,373.0,126.2
CC(C)C(C)=C(C)C,434.7867,170.1749,467.0,166.3
CC(C)C(C)=O,368.1418,116.1219,,104.2
CC(C)C(C)Br,381.0538,123.9669,383.0,125.7
CC(C)C(C)C,365.3666,130.678,366.0,130.7
CC(C)C(C)C#C,384.436,140.5355,392.0,144.0
CC(C)C(C)C(C)(C)C,450.5334,199.0991,,195.686
CC(C)C(C)C(C)=C,427.527,168.0664,423.0,170.0
CC(C)C(C)C(C)C,437.166,176.0997,428.0,182.8
CC(C)C(C)C=C,400.2371,145.5942,399.0,146.8
CC(C)C(C)O,365.7112,125.9836,388.6,126.1
CC(C)C(O)=O,355.1298,105.5489,,95.8
CC(C)C(O)C(C)C,428.5994,171.217,,170.1
CC(C)C=C,333.692,100.252,334.0,105.3
CC(C)C=C(C)C,401.9582,145.8324,393.0,143.3
CC(C)C=O,332.2414,92.1643,323.0,90.8
CC(C)CBr,354.0637,100.5574,,103.0
CC(C)CC#C,356.4401,117.6574,357.0,121.3
CC(C)CC(C)(C)C,431.0547,177.2461,423.0,179.5
CC(C)CC(C)=C,403.1277,144.8704,399.0,147.2
CC(C)CC(C)=O,405.3161,138.5609,413.0,138.7
CC(C)CC(C)C,404.6328,153.1045,397.0,161.9
CC(C)CC(C)O,407.3354,148.2134,,142.686
CC(C)CC(O)=O,392.8849,127.8499,390.0,127.9
CC(C)CC=C,373.2559,122.2642,368.0,120.2
CC(C)CC=O,373.4917,114.6201,,114.686
CC(C)CCBr,396.5495,122.804,392.0,125.9
CC(C)CCCl,384.0962,120.5781,401.0,125.6
CC(C)CCO,380.7269,124.578,390.0,122.8
CC(C)CCS,393.3892,130.8707,401.0,132.9
CC(C)CCl,342.4853,98.7583,344.0,100.3
CC(C)CN,339.8847,105.733,,106.686
CC(C)CO,338.9833,102.8586,349.0,102.9
CC(C)CS,357.3815,109.1681,363.0,111.9
CC(C)Cl,303.8494,75.7931,306.0,79.1
CC(C)F,293.8458,72.1697,293.0,75.0
CC(C)N,300.4415,83.3442,312.0,89.3
CC(C)NC(C)C,414.9398,151.2175,412.0,150.6
CC(C)O,299.1558,80.6079,312.0,81.1
CC(C)OC(C)=O,400.8367,130.4147,,121.686
CC(C)OC(C)C,403.1181,148.0209,399.0,151.3
CC(C)S,314.1523,86.7416,324.0,87.8
CC(C)SC(C)C,424.9745,156.004,,161.6
CC(C)[CH]=[C]=[CH2],358.8499,115.9127,359.0,114.9
CC(C=C)C(C)(C)C,424.5094,170.104,400.0,169.6
CC(C=C)C=C,364.3689,114.9632,363.0,122.1
CC(CO)CO,363.9034,115.892,,113.686
CC(Cl)(Cl)Cl,321.08,83.7845,321.0,84.3
CC(Cl)=C,294.7881,67.7682,,70.1
CC(Cl)=O,294.6472,60.4922,295.0,59.6
CC(Cl)CCl,343.1482,89.9175,355.0,91.3
CC(Cl)Cl,304.5275,66.6762,305.0,68.3
CC(F)(Cl)Cl,319.7706,79.2365,319.0,80.2
CC(F)(F)C(F)(F)F,369.6315,114.5864,357.0,109.6
CC(F)(F)Cl,308.5077,74.1111,307.0,74.7
CC(F)(F)F,287.2916,68.5464,282.0,70.1
CC(F)=C,283.992,64.1197,296.0,68.1
CC(F)=O,282.2924,55.0907,,53.9
CC(F)CF,322.9879,82.0432,325.0,88.1
CC(F)Cl,293.6609,62.5884,301.0,64.5
CC(F)F,281.8257,57.8144,283.0,59.8
CC(N)=O,303.5324,70.1311,278.0,57.0
CC(N)CN,334.3307,102.7289,,104.686
CC(O)=O,288.0339,60.6921,283.0,55.2
CC(O)C(C)C(C)O,426.5256,166.2297,,159.686
CC(O)C(C)O,355.7357,118.6323,387.0,116.3
CC(O)C(O)CO,384.7975,132.1636,,131.686
CC(O)C=C,328.0596,94.6664,,72.9
CC(O)CC(C)(C)O,414.0073,164.6272,,164.686
CC(O)CC(C)O,403.9181,143.1675,403.0,140.0
CC(O)CCO,364.7949,116.62,,114.686
CC(O)CCl,340.5867,94.0931,365.0,
CC(O)CO,328.3813,95.2981,314.0,93.7
CC/C=C/Cl,337.3265,90.2397,,87.686
CC=C,264.795,54.3083,267.0,56.2
CC=C(C)C,332.2398,100.6367,,96.7
CC=C=O,285.5683,62.0058,,63.086000000000006
CC=O,262.162,46.9402,264.0,46.8
CCBr,287.1005,54.2371,287.0,55.9
CCC,269.0706,62.0445,270.0,65.3
CCC#C,290.1561,72.4574,290.0,73.0
CCC#CC,346.3117,93.3691,,90.3
CCC#N,284.943,63.4953,285.0,65.5
CCC(=C)C(C)(C)C,421.9571,168.4095,420.0,170.0
CCC(=C)C(C)C,402.5056,144.7574,398.0,147.2
CCC(=C)C=C,357.2874,112.9716,376.0,122.1
CCC(=C)CC,379.5821,121.6534,377.0,121.5
CCC(=O)CC,382.2826,115.8837,370.0,121.5
CCC(=O)OC,373.902,106.6538,360.0,103.0
CCC(Br)CC,393.205,123.691,392.0,125.9
CCC(C(C)C)C(C)C,469.6929,198.2584,,195.686
CCC(C)(C)C,367.4124,132.5148,358.0,132.8
CCC(C)(C)C#C,382.876,142.5103,384.0,144.1
CCC(C)(C)C(C)(C)C,442.8018,201.4254,,203.786
CCC(C)(C)C(C)=C,423.0642,168.9451,423.0,170.0
CCC(C)(C)C(C)C,431.4609,177.6311,427.0,178.0
CCC(C)(C)C=C,394.0228,146.7532,378.0,146.9
CCC(C)(C)CC,404.7611,154.6986,391.0,156.9
CCC(C)(C)F,359.9273,120.7703,344.0,120.0
