smiles,S0_G4,Cv_G4,S0_Exp,Cv_Exp
CCC(C)(C)O,364.2111,128.222,362.8,133.6
CCC(C)(C)OC,406.5581,149.0,408.0,151.7
CCC(C)(CC)C#C,420.2607,165.0791,,161.2
CCC(C)(CC)C=C,431.8949,169.3763,,169.8
CCC(C)(CC)CC,441.477,177.3635,425.0,179.2
CCC(C)(O)CC,401.6508,150.5983,,146.686
CCC(C)=C,335.3262,99.6411,340.0,101.7
CCC(C)=C(C)C,404.8729,146.6734,422.0,143.6
CCC(C)=O,344.8553,93.6496,340.0,94.4
CCC(C)Br,354.1753,100.98,362.0,104.4
CCC(C)C,343.3415,108.0049,344.0,110.5
CCC(C)C#C,358.2811,117.6198,364.0,121.3
CCC(C)C(C)(C)C,431.3805,177.7524,424.0,176.7
CCC(C)C(C)=C,403.3335,145.2051,,147.2
CCC(C)C(C)=O,406.7768,138.4187,,132.686
CCC(C)C(C)C,411.6446,153.2593,415.0,151.9
CCC(C)C=C,373.4643,122.6785,377.0,136.2
CCC(C)C=O,372.1381,115.0678,368.0,115.3
CCC(C)CBr,395.3553,123.0299,,125.686
CCC(C)CC,383.9106,130.4649,383.0,132.3
CCC(C)CF,373.1139,117.1263,373.0,120.1
CCC(C)CO,380.2932,124.7663,,123.3
CCC(C)N,339.9777,105.7456,,107.686
CCC(C)O,338.6195,103.1055,355.37,104.686
CCC(C)OC,380.8311,123.8667,,127.4
CCC(C)S,353.2087,109.3605,,109.686
CCC(C=C)C(C)C,440.7214,167.9705,443.0,169.7
CCC(CC)(CC)CC,466.6259,199.7398,436.52,203.686
CCC(CC)=C(C)C,433.5289,168.4597,471.0,166.5
CCC(CC)=CC,408.695,144.8034,408.0,143.5
CCC(CC)C#C,397.173,140.0588,398.0,144.2
CCC(CC)C(C)(C)C,463.8782,199.4467,,192.686
CCC(CC)C(C)=C,441.1088,167.6692,441.0,170.1
CCC(CC)C(C)C,448.0471,175.8615,444.0,183.7
CCC(CC)C=C,413.4354,145.2514,409.0,145.4
