Molecule                                                     Hf_0k           Hf_298k         Gf_298k         S0_298k         Cv_298k
CC(C)C(C)(C)C(C)(C)C(C)(C)S                                  -145.9507       -225.9209        144.8101        556.3362        292.5406
CC(C)C(C)(C)C(C)C                                            -181.4630       -240.3092        29.4005         453.8492        200.8229
CC(C)C(C)(C)C=C                                              -55.5922        -101.5463        98.3759         420.8175        169.7819
CC(C)C(C)=C                                                  -27.3573        -60.9196         73.9776         366.0726        122.7828
CC(C)C(C)=C(C)C                                              -64.0492        -107.9471        87.8103         434.7867        170.1749
CC(C)C(C)=O                                                  -233.4867       -262.0446       -137.8537        368.1418        116.1219
CC(C)C(C)Br                                                  -112.4438       -146.3145       -14.3842         381.0538        123.9669
CC(C)C(C)C                                                   -135.4428       -176.2829       -2.2129          365.3666        130.6780
CC(C)C(C)C#C                                                  121.6010        89.7580         220.8916        384.4360        140.5355
CC(C)C(C)C(C)(C)C                                            -167.9653       -227.5939        43.1044         450.5334        199.0991
CC(C)C(C)C(C)=C                                              -64.5321        -110.1584        87.7634         427.5270        168.0664
CC(C)C(C)C(C)C                                               -166.2035       -218.9626        15.0476         437.1660        176.0997
CC(C)C(C)C=C                                                 -34.3914        -74.0859         91.2988         400.2371        145.5942
CC(C)C(C)CC=C                                                -47.0937        -92.8164         100.9217        441.5590        167.5186
CC(C)C(C)O                                                   -282.6607       -318.9768       -155.0990        365.7112        125.9836
CC(C)C(O)=O                                                  -451.3485       -476.8221       -358.8411        355.1298        105.5489
CC(C)C(O)C(C)C                                               -316.3173       -364.6821       -138.2072        428.5994        171.2170
CC(C)C1CC1                                                    4.7085         -21.4502         118.5118        349.0851        117.0152
CC(C)C1CCCC1                                                 -105.6782       -147.7589        61.6825         388.8901        148.6072
CC(C)C1CCCCC1                                                -145.8473       -195.9145        50.9241         399.8792        166.6218
CC(C)C=C                                                     -0.0166         -27.7236         76.1543         333.6920        100.2520
CC(C)C=C(C)C                                                 -51.7120        -90.4626         74.4089         401.9582        145.8324
CC(C)C=O                                                     -190.9455       -214.0322       -119.8112        332.2414        92.1643
CC(C)CBr                                                     -86.6052        -114.6838       -15.3801         354.0637        100.5574
CC(C)CC#C                                                     140.6691        114.6606        213.4675        356.4401        117.6574
