Molecule                                                     Hf_0k           Hf_298k         Gf_298k         S0_298k         Cv_298k
CCCCN(CCCC)CCCC                                              -137.0857       -219.8607        158.1604        660.9759        282.2411
CCCCNCCCC                                                    -93.2180        -151.9684        107.5804        512.6540        193.5313
CCCCO                                                        -244.2142       -274.4600       -147.0502        351.6052        101.8254
CCCCOC                                                       -222.4156       -258.8126       -102.6925        391.7308        121.8963
CCCCOC(=O)CCCCCCCCC(=O)OCCCC                                 -946.0795       -1052.1958      -537.3543        1008.4131       439.2225
CCCCOC(=O)c1ccccc1C(=O)OCCCC                                 -690.1033       -761.7622       -412.2303        767.3045        344.9140
CCCCOC(C)=O                                                  -447.8516       -484.5401       -315.5334        456.8288        151.2473
CCCCOC(O)CC                                                  -467.8944       -518.3308       -280.5305        493.1941        183.7279
CCCCOC=C                                                     -144.0760       -180.2331       -29.3191         414.9320        136.1180
CCCCOC=O                                                     -400.9012       -432.9320       -290.9674        411.1083        126.0304
CCCCOCC                                                      -250.0041       -292.4450       -107.8697        432.7115        144.7035
CCCCOCCCC                                                    -277.9175       -332.6321       -90.7483         513.3379        188.8996
CCCCOCCO                                                     -395.0109       -439.6641       -234.2102        465.2643        159.5193
CCCCOCCOC(C)=O                                               -591.4656       -642.4060       -395.9745        572.5647        209.0374
CCCCOCCOCCO                                                  -538.6249       -597.5300       -314.6513        581.0002        217.3094
CCCCOCCOCCOC(C)=O                                            -735.0797       -800.2720       -476.4156        688.3006        266.8275
CCCCOCCOCCOCCCC                                              -565.1456       -648.3640       -251.6306        744.8097        304.4798
CCCCOCCOCCOCCO                                               -682.2390       -755.3960       -395.0925        696.7361        275.0996
CCCCS                                                        -59.1200        -88.2424         13.7289         366.4006        108.1098
CCCCSC                                                       -68.9294        -103.5593        25.5820         411.6918        131.6157
CCCCSCCCC                                                    -115.1829       -168.0008        48.5735         527.7003        198.5060
CCCC[C@@H](CC)CO                                             -305.1796       -359.5992       -113.7618        500.0773        191.4599
CCCC[C@H](CC)COC(C)=O                                        -509.2453       -570.0435       -282.5214        605.0062        240.9027
CCCC[C@H](O)CC                                               -304.5835       -352.9399       -135.8866        460.1996        170.0460
CCCC\C=C/C                                                   -32.1965        -71.6086         87.6877         420.6573        144.0966
CCCC\C=C/CC                                                  -45.3448        -91.0287         95.3820         466.1353        166.1130
CCCC\C=C\C                                                   -32.1965        -71.6086         87.6877         420.6573        144.0966
CCCC\C=C\CC                                                  -45.3448        -91.0287         95.3820         466.1353        166.1130
CCCCc1ccccc1                                                  32.2582        -12.0913         143.7021        449.6263        164.7155
CCCCc1cccnc1                                                  85.3221         48.4597         215.3631        437.0884        157.2659
CCCCl                                                        -111.0148       -131.8161       -51.0649         315.2994        75.4660
CCCF                                                         -270.1958       -291.4249       -210.3919        304.2099        71.4703
CCCN                                                         -39.9067        -67.9710         47.8305         312.6848        82.8591
CCCN(CCC)CCC                                                 -96.0225        -160.3022        131.3029        541.5565        215.1625
CCCNCC                                                       -52.0687        -92.3646         80.8818         392.8539        126.4401
CCCNCCC                                                      -65.8425        -112.2627        89.6754         433.0411        148.8122
CCCO                                                         -230.2577       -254.3748       -155.5597        311.0927        79.5872
CCCOC                                                        -208.4592       -238.7274       -111.2021        351.2182        99.6581
CCCOC(=O)C(C)=C                                              -356.6785       -392.8066       -224.5221        464.9912        165.2637
CCCOC(=O)C(C)C                                               -468.4604       -511.2548       -308.8726        481.3070        173.9329
CCCOC(=O)C=C                                                 -326.8020       -357.2325       -220.1909        433.3600        141.8124
CCCOC(=O)CC                                                  -448.4400       -485.2452       -315.4807        454.2872        151.2808
CCCOC(=O)\C=C/C(=O)OCCC                                      -728.7995       -779.7454       -519.3838        639.9027        250.5178
CCCOC(=O)c1ccccc1                                            -288.7111       -326.1799       -159.8876        488.8932        184.4796
CCCOC(=O)c1ccccc1C(=O)OCCC                                   -662.1905       -721.5917       -429.2495        686.2794        300.4377
CCCOC(C)=O                                                   -433.8952       -464.4548       -324.0430        416.3163        129.0091
CCCOC=O                                                      -386.9447       -412.8468       -299.4770        370.5958        103.7922
CCCOCC                                                       -236.0477       -272.3598       -116.3793        392.1989        122.4653
CCCOCC(C)O                                                   -418.1150       -462.5666       -253.2596        452.3409        161.0964
CCCOCCC                                                      -250.0047       -292.4616       -107.7675        432.3129        144.4232
CCCOCCO                                                      -381.0545       -419.5788       -242.7198        424.7518        137.2811
CCCS                                                         -44.9132        -67.9853         5.4122          325.8175        86.1268
CCCSCCC                                                      -86.7695        -127.4867        31.9400         446.5342        154.5401
CCC[C@@H](C)CC                                               -144.0601       -190.7979        6.4068          424.1922        152.8244
CCC[C@@H](C)CC=C                                             -43.3735        -89.0898         100.9073        454.1066        167.0837
CCC[C@@H](C)O                                                -277.0950       -313.3930       -153.6185        379.4736        125.4148
CCC[C@@H]1CCC[C@@H]1C                                        -118.2177       -167.9852        74.4517         414.6425        170.7968
CCC[C@@H]1CC[C@H](C)C1                                       -120.6955       -172.4990        68.1053         420.7892        170.1652
CCC[C@H](C)O                                                 -277.0950       -313.3930       -153.6185        379.4736        125.4148
CCC[C@H]1CCC[C@@H]1C                                         -118.2177       -167.9852        74.4517         414.6425        170.7968
CCC[C@H]1CC[C@H](C)C1                                        -120.6955       -172.4990        68.1053         420.7892        170.1652
CCC[CH]=[C]=[CH2]                                             146.0605        119.9051        214.4485        370.7397        114.8460
CCC[S](=O)(=O)CCC                                            -413.0219       -458.4384       -246.3536        475.0781        181.0164
CCC\C(C)=C/C                                                 -41.1841        -79.8342         80.6964         416.5178        144.8160
CCC\C(C)=C\C                                                 -41.1841        -79.8342         80.6964         416.5178        144.8160
CCC\C=C(/CC)C=O                                              -149.1578       -189.3464       -12.8994         471.4539        172.4099
CCC\C=C/C                                                    -17.5488        -50.9020         80.2033         378.7910        121.7873
CCC\C=C/CC                                                   -30.6970        -70.3220         87.8976         424.2689        143.8037
CCC\C=C/CCC                                                  -45.6387        -91.3283         95.4369         464.9466        166.1507
CCC\C=C\C                                                    -17.5488        -50.9020         80.2033         378.7910        121.7873
CCC\C=C\C(C)C                                                -54.0243        -99.5443         90.5750         453.6966        167.1086
CCC\C=C\CC                                                   -30.6970        -70.3220         87.8976         424.2689        143.8037
CCCc1cccc(C)c1                                                5.4184         -15.8876         140.2401        448.5050        167.1181
CCCc1cccc(C)c1C                                              -11.3377        -50.9323         135.9636        481.7280        191.4489
CCCc1ccccc1                                                   46.9060         8.6154          136.2176        407.7599        142.4061
CCCc1ccccc1C                                                  13.0799        -16.4028         140.8438        444.7522        166.4170
CCCc1sccc1                                                    64.4541         32.4594         130.4003        397.1387        133.5883
CCCl                                                         -95.8758        -110.5246       -58.5635         275.4414        52.5050
CCF                                                          -256.6854       -271.6422       -219.3213        264.0905        48.7059
CCN                                                          -26.0497        -47.9146         39.2574         272.2889        60.4578
CCN(C)CC                                                     -32.4895        -72.7948         103.9503        381.1191        125.7244
CCN(CC)CC                                                    -50.2294        -96.5054         109.5206        419.3304        149.0379
CCN(CC)CCO                                                   -207.9283       -256.6796       -28.5562         447.7953        163.0127
CCN(CC)c1ccccc1                                               96.9958         47.8847         246.9034        465.7930        182.8857
CCN(O)CC                                                     -85.6177        -121.6142        47.8125         371.8251        122.4065
CCN1CCOCC1                                                   -135.5824       -184.1063        26.5311         375.7635        131.8955
CCNC                                                         -15.9605        -44.0585         71.8756         312.2399        81.4951
CCNCC                                                        -38.2950        -72.4665         72.0881         352.6667        104.0681
CCNCC(C)=C                                                    35.7705        -3.4804          165.7026        412.2225        140.7787
CCNc1ccccc1                                                   96.2479         66.1645         204.4883        396.5249        139.5019
CCO                                                          -216.4799       -234.3605       -164.1955        270.7654        57.5499
CCOC                                                         -194.5022       -218.6255       -119.8139        311.1043        77.7003
CCOC(=O)C(=O)OCC                                             -732.9033       -767.0525       -584.9537        487.3975        170.0839
CCOC(=O)C=C                                                  -312.8451       -337.1307       -228.8027        393.2461        119.8545
CCOC(=O)CC                                                   -434.4830       -465.1433       -324.0925        414.1733        129.3229
CCOC(=O)CC#N                                                 -259.0699       -281.0178       -172.8353        424.1989        130.3564
CCOC(=O)CC(=O)OCC                                            -768.9427       -807.8647       -601.6328        542.8748        195.2802
CCOC(=O)CC(C)=O                                              -552.7836       -583.8893       -428.4672        474.2919        158.4103
CCOC(=O)CCC(=O)OCC                                           -802.3659       -847.5815       -616.5039        595.9618        216.9745
CCOC(=O)CCl                                                  -424.4876       -447.2624       -333.1625        414.3472        119.7541
CCOC(=O)OCC                                                  -607.0465       -640.2777       -473.7285        431.2312        142.8876
CCOC(=O)[C@H](C)O                                            -588.3670       -620.7129       -455.0421        434.1774        146.7618
CCOC(=O)\C=C/C(=O)OCC                                        -700.8855       -739.5417       -536.6074        559.6748        206.6021
CCOC(=O)c1ccccc1                                             -274.7541       -306.0780       -168.4994        448.7792        162.5218
CCOC(=O)c1ccccc1C(=O)OCC                                     -634.2766       -681.3880       -446.4731        606.0515        256.5219
CCOC(C)(C)C                                                  -278.4733       -320.4189       -129.1482        410.2550        149.5941
CCOC(C)=O                                                    -419.9382       -444.3530       -332.6548        376.2024        107.0512
CCOC(C)OCC                                                   -428.3183       -472.2969       -263.8251        455.1421        160.7659
CCOC=C                                                       -116.1626       -140.0460       -46.4404         334.3055        91.9219
CCOC=O                                                       -372.9878       -392.7450       -308.0888        330.4819        81.8343
CCOCC                                                        -222.0907       -252.2579       -124.9911        352.0850        100.5075
CCOCCO                                                       -367.0975       -399.4770       -251.3316        384.6379        115.3233
CCOCCOC(C)=O                                                 -563.5522       -602.2189       -413.0959        491.9382        164.8414
CCOCCOCC                                                     -365.7048       -410.1238       -205.4322        467.8209        158.2976
CCOCCOCCO                                                    -510.7116       -557.3429       -331.7727        500.3738        173.1134
CCOCCOCCOC(C)=O                                              -707.1663       -760.0849       -493.5370        607.6741        222.6315
CCOCCOCCOCC                                                  -509.3188       -567.9898       -285.8733        583.5568        216.0877
CCOCOCC                                                      -371.3385       -409.6820       -231.8277        421.4137        136.9172
CCOCc1ccccc1                                                 -78.3047        -121.0964        29.3319         433.7812        157.2467
CCON=O                                                       -80.0922        -98.9619        -6.4473          328.8494        81.5665
CCOO                                                         -140.8012       -160.0335       -70.7398         309.1876        76.0852
CCO[S](=O)(=O)OCC                                            -725.6741       -762.9630       -567.9456        464.6425        164.7825
CCO[S](O)(=O)=O                                              -714.8095       -740.5050       -603.7082        387.0753        120.0216
CCOc1ccc(N)cc1                                               -44.5839        -91.7994         69.4215         422.3073        161.4179
CCOc1ccccc1                                                  -67.9453        -93.4038         27.4573         396.5297        137.7500
CCS                                                          -28.1733        -45.0141        -0.6049          286.6250        63.6878
CCSC                                                         -39.2528        -61.7690         10.0381         331.1516        87.1686
CCSCC                                                        -55.8297        -84.4203         17.4857         366.6198        109.6118
CCSCCO                                                       -200.5506       -230.3620       -109.7966        406.6158        126.7246
CCSSCC                                                       -48.3059        -77.2077         16.5130         426.1272        133.0341
CC[C@@H](C)CBr                                               -100.0645       -133.9502       -6.2839          395.3553        123.0299
CC[C@@H](C)Cl                                                -140.4117       -167.2332       -53.9505         342.6081        99.2060
CC[C@@H](C)O                                                 -262.3957       -292.7020       -161.4205        338.6195        103.1055
CC[C@@H]1CCC[C@H]1C                                          -103.3961       -147.1591        66.6142         374.3609        148.4373
CC[C@@H]1C[C@@H]1C                                            11.9244        -11.8176         129.3766        344.9523        116.5904
CC[C@H](C)CBr                                                -100.0645       -133.9502       -6.2839          395.3553        123.0299
CC[C@H](C)N                                                  -68.8937        -103.1885        45.1493         339.9777        105.7456
CC[C@H](C)O                                                  -262.3957       -292.7020       -161.4205        338.6195        103.1055
CC[C@H](C)S                                                  -68.1513        -97.2784         8.6260          353.2087        109.3605
CC[C@H]1CCC[C@@H]1CC                                         -114.7589       -171.9627        69.5816         417.6366        170.8875
CC[C@H]1CCC[C@H]1C                                           -103.3961       -147.1591        66.6142         374.3609        148.4373
CC[C@H]1CC[C@@H](C)C1                                        -105.8740       -151.6730        60.2677         380.5076        147.8056
CC[C@H]1CC[C@H](C)C1                                         -105.8740       -151.6730        60.2677         380.5076        147.8056
CC[C@H]1CC[C@H](CC)C1                                        -118.1785       -159.0419        79.6196         427.3056        170.1992
CC[C@H]1C[C@H]1C                                              11.9244        -11.8176         129.3766        344.9523        116.5904
CC[CH]=[C]=[CH2]                                              161.0022        140.9113        206.9092        330.0620        92.4990
CC[CH]=[C]=[CH]C                                              139.0951        113.3922        211.1330        360.0159        114.1094
CC[C](C)=[C]=[CH2]                                            132.4992        106.8257        203.8559        362.3992        116.0717
CC[S](Cl)(=O)=O                                              -383.3848       -402.8562       -305.7661        361.2920        103.9757
CC\C(C)=C(C)/CC                                              -60.5783        -105.3137        87.0144         446.2883        168.5016
CC\C(C)=C(C)\CC                                              -60.5783        -105.3137        87.0144         446.2883        168.5016
CC\C(C)=C/C                                                  -26.1974        -58.8556         73.2556         375.4170        122.8163
CC\C(C)=C\C                                                  -26.1974        -58.8556         73.2556         375.4170        122.8163
CC\C=C(/C)C=O                                                -131.8726       -159.4925       -42.9217         399.4397        127.7160
CC\C=C(C)/CC                                                 -40.2360        -79.0601         81.6207         416.0141        144.6988
CC\C=C/C                                                     -2.6070         -29.8957         72.6639         338.1133        99.4403
CC\C=C/C(C)C                                                 -39.0825        -78.5381         83.0357         413.0189        144.7616
CC\C=C/CC                                                    -15.7553        -49.3158         80.3582         383.5912        121.4567
CC\C=C/Cl                                                    -9.7151         -29.1274         46.7677         337.3265        90.2397
CC\C=C\C                                                     -2.6070         -29.8957         72.6639         338.1133        99.4403
CC\C=C\CC                                                    -15.7553        -49.3158         80.3582         383.5912        121.4567
CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\C\C=C\CCC(O)=O                -53.4664        -144.4274        269.4060        1034.3163       455.8991
CCc1c(CC)c(CC)c(CC)c(CC)c1CC                                 -166.9112       -254.0763        138.6007        746.4751        357.1455
CCc1cc(C)cc(C)c1                                             -24.6773        -26.8468         127.5310        454.3743        170.8015
CCc1cc(C)ccc1C                                               -0.9889         -19.8399         138.1083        442.3992        169.4246
CCc1cc(CC)c(CC)c(CC)c1                                       -103.8640       -110.7680        165.9521        589.7160        263.9816
CCc1cc(CC)c(CC)c(CC)c1CC                                     -142.0791       -177.1588        157.2943        668.9187        313.3697
CCc1cc(CC)cc(CC)c1                                           -59.5276        -62.1490         157.2802        509.0309        212.8968
CCc1ccc(C)c(C)c1                                             -5.9207         -30.9540         131.3481        427.7961        166.9510
CCc1ccc(C)c(C)c1C                                            -20.3366        -56.6314         132.5190        474.1666        194.0652
CCc1ccc(C)cc1                                                 31.7688        -2.5848          125.6667        405.5824        144.7215
CCc1ccc(C)cc1C                                                1.7430         -21.2404         136.0340        444.6591        170.6576
CCc1ccc(C=C)cc1                                               114.3916        101.9685        227.1658        421.5662        158.1309
CCc1ccc(CC)c(CC)c1                                           -37.0360        -64.1822         152.2590        519.0525        215.7481
CCc1ccc(CC)cc1                                                14.2481        -17.5333         141.2400        439.6316        166.9086
CCc1ccc(O)cc1                                                -110.5307       -139.2082       -17.6658         394.2448        139.0761
CCc1cccc(C)c1                                                 20.4052         5.0910          132.7993        407.4043        145.1184
CCc1cccc(C)c1C                                                3.6490         -29.9537         128.5228        440.6272        169.4492
CCc1cccc(C=C)c1                                               109.2470        106.0758        231.5442        420.6568        159.0070
CCc1cccc(CC)c1                                                0.4813         -13.1932         146.2320        437.4454        166.8709
CCc1cccc(CC)c1CC                                             -43.7631        -61.6786         154.9532        518.4133        215.9693
CCc1cccc(CC)c1N                                               15.0081        -13.5058         187.2435        459.9885        192.0075
CCc1cccc(O)c1                                                -110.2141       -142.1031       -21.4203         397.1281        140.7920
CCc1ccccc1                                                    61.8927         29.5940         128.7768        366.6591        120.4064
CCc1ccccc1C                                                   28.0666         4.5758          133.4030        403.6514        144.4173
CCc1ccccc1C(C)C                                              -4.1087         -46.9688         144.8914        465.0778        191.3067
CCc1ccccc1C=C                                                 131.8868        107.4353        231.5914        425.0586        159.0702
CCc1ccccc1CC                                                  13.7552        -13.3032         143.4059        446.5553        168.3357
CCc1ccccc1N                                                   68.5718         38.9340         180.6224        385.2400        142.2800
CCc1ccccc1O                                                  -105.9963       -139.1505       -16.7701         391.4342        139.4996
CCc1cccnc1                                                    114.9566        90.1451         200.4378        354.1213        112.9568
CCc1sccc1                                                     79.1890         53.2577         121.9427        358.8431        111.1158
CCl                                                          -73.6877        -81.5720        -58.0357         234.3590        32.3465
CF                                                           -228.1016       -236.0970       -212.0460        222.4886        28.7315
CN                                                           -4.6492         -19.6997         36.3265         240.3321        39.7145
CN(C)C                                                        2.9909         -25.5440         97.3270         288.9735        78.9269
CN(C)C(C)=O                                                  -200.3505       -228.4726       -95.5399         363.5466        110.5906
CN(C)C=O                                                     -171.1707       -194.0537       -90.7491         326.4999        86.1477
CN(C)CCN(C)C                                                  31.4416        -21.3129         226.7773        439.3915        163.9413
CN(C)CCO                                                     -172.6505       -209.6403       -38.8175         367.1426        116.6284
CN(C)c1ccccc1                                                 134.1791        97.2485         237.8451        388.9018        137.7734
CN(CCO)CCO                                                   -347.8872       -393.1432       -172.2033        438.0488        153.6740
CN1CCCC1                                                      28.5134        -10.9815         140.4939        335.1940        97.2659
CN1CCCC1=O                                                   -155.4076       -211.5046       -74.5661         355.8512        105.9936
CN1CCCCC1                                                    -10.1347        -58.5688         131.5924        341.8611        115.6406
CN=C=O                                                       -99.9027        -108.4437       -74.9159         293.4319        55.6545
CNC                                                           5.9367         -15.9623         71.3541         271.8045        58.0739
CNC(=O)NC                                                    -192.4456       -219.6209       -82.5569         374.4148        110.6076
CNC(C)=O                                                     -211.8756       -233.3614       -135.9986        346.4288        90.5158
CNC(N)=O                                                     -205.2512       -227.2518       -116.9609        327.7925        87.6874
CNC1CCCCC1                                                   -43.4446        -94.0936         135.6367        345.5658        139.3923
CNC=O                                                        -124.5445       -141.5635       -66.3429         284.2738        65.9390
CNCc1ccccc1                                                   127.0091        92.2947         229.3791        400.6818        138.5063
CNc1ccccc1                                                    118.1813        94.0932         203.7240        356.3417        116.9374
CO                                                           -190.1330       -201.2097       -161.9331        237.9456        36.5974
COC                                                          -167.2834       -185.2192       -113.1495        264.3771        54.0614
COC(=O)C(C)=C                                                -316.1161       -339.9530       -229.0490        384.6060        120.6367
COC(=O)C(C)C                                                 -427.8979       -458.4012       -313.3995        400.9219        129.3059
COC(=O)C(C)O                                                 -561.7615       -587.9611       -450.9571        393.9062        124.0927
COC(=O)C=C                                                   -286.2396       -304.3790       -224.7177        352.9749        97.1854
COC(=O)CCC(=O)OC                                             -749.1550       -782.0781       -608.3340        515.4193        171.6362
COC(=O)CCl                                                   -397.8822       -414.5106       -329.0775        374.0760        97.0850
COC(=O)OC                                                    -552.9901       -573.5647       -465.6482        355.0464        97.4908
COC(=O)\C=C/C(=O)OC                                          -647.6746       -674.0383       -528.4374        479.1323        161.2638
COC(=O)c1ccc(cc1)C(=O)OC                                     -589.9771       -634.3722       -454.8991        519.1645        207.2820
COC(=O)c1ccccc1                                              -248.1486       -273.3263       -164.4145        408.5080        139.8526
COC(=O)c1ccccc1O                                             -444.9750       -475.3935       -339.1309        419.3531        156.4993
COC(C)(C)C                                                   -250.1861       -286.2337       -123.0837        368.1521        126.6697
COC(C)=O                                                     -393.3327       -411.6013       -328.5698        335.9311        84.3821
COC(C)C                                                      -222.4294       -252.5342       -122.1681        341.6902        101.4570
COC(C)OC                                                     -361.0428       -392.9039       -241.4305        373.4758        116.2644
COC(Cl)=O                                                    -372.8554       -384.0717       -324.3346        323.8406        74.7798
COC(F)(F)C(F)(F)F                                            -1293.5401      -1309.9589      -1186.0817       407.3138        129.4398
COC1CCCCO1                                                   -358.4650       -402.6847       -207.2148        368.0705        128.6418
COC=C                                                        -89.3403        -107.1195       -42.4404         294.9054        68.8678
COC=O                                                        -327.2280       -339.7927       -286.6152        299.6418        60.8848
COCC(C)C                                                     -231.8239       -268.1096       -108.1384        378.8141        122.9504
COCC(C)O                                                     -376.5696       -408.8323       -256.6942        371.2462        116.3313
COCCC#N                                                      -55.5172        -76.9154         17.4666         362.1664        100.7836
COCCO                                                        -339.5090       -365.8446       -246.1544        343.6571        92.5160
COCCOC                                                       -310.5278       -342.8591       -195.0779        385.8594        112.6832
COCCOCCO                                                     -483.1231       -523.7105       -326.5955        459.3930        150.3062
COCCOCCOC                                                    -454.1418       -500.7250       -275.5190        501.5953        170.4733
COCCOCCOCCOC                                                 -597.7558       -658.5909       -355.9601        617.3312        228.2634
COCCOCCOCCOCCOC                                              -741.3699       -816.4569       -436.4012        733.0671        286.0535
COCOC                                                        -327.7544       -353.7893       -232.9876        339.9292        91.6291
CON=O                                                        -55.1138        -67.6209        -4.2647          290.2270        58.8974
COO                                                          -114.3964       -127.2961       -66.8608         269.5590        53.1818
COOC                                                         -104.5429       -125.7273       -30.5251         289.3700        65.4119
CO[S](=O)(=O)OC                                              -665.1013       -690.2217       -552.3293        383.4009        119.0760
COc1cc(C=O)ccc1O                                             -313.0068       -359.1721       -229.5478        441.6181        165.3692
COc1cc(ccc1O)C(C)=O                                          -368.6287       -421.4811       -259.0610        468.0402        186.8460
COc1ccc(C(=O)O)cc1                                           -419.2115       -441.3553       -308.5483        430.9432        157.6836
COc1ccc(O)cc1                                                -206.1832       -238.8371       -121.4925        374.4844        134.5379
COc1ccc(\C=C\C)cc1                                            6.2083         -29.6275         118.3701        447.6738        175.0735
COc1ccccc1                                                   -40.4985        -60.0823         32.1772         356.0401        114.6206
COc1ccccc1O                                                  -210.4992       -244.6885       -126.2626        370.8575        134.1470
CS                                                           -12.2864        -22.6199        -9.0966          253.7964        42.6935
CSC                                                          -22.7228        -39.1146         5.9049          284.5779        63.8812
CSC#N                                                         141.0083        133.0267        144.1226        298.1431        64.6334
CSC(C)C                                                      -63.2606        -91.7994         12.4275         358.8354        110.3563
CSSC                                                         -9.2856         -25.7569         12.8034         338.2959        88.6247
CSc1ccccc1                                                    115.1572        94.3181         157.9560        381.5114        123.6481
C[C@@H](O)CCO                                                -417.8189       -450.7535       -296.6919        364.7949        116.6200
C[C@@H](O)CN                                                 -209.6354       -239.5035       -99.5869         334.3824        100.4110
C[C@@H](O)CO                                                 -399.9375       -426.4773       -302.2326        328.3813        95.2981
C[C@@H](O)[C@@H](C)O                                         -432.7990       -465.2907       -308.5281        355.7357        118.6323
C[C@@H](O)[C@H](C)O                                          -432.7990       -465.2907       -308.5281        355.7357        118.6323
C[C@@H]1CCC[C@H](O)C1                                        -267.3543       -320.5557       -112.0235        358.0997        138.3512
C[C@@H]1CCC[C@H]1C                                           -91.0336        -134.5295        53.4645         324.4052        126.0123
C[C@@H]1CC[C@@H](C)C1                                        -93.2540        -136.4798        49.1547         332.3188        125.6031
C[C@@H]1CC[C@@H](C)C1C                                       -106.7619       -163.6783        54.8977         358.2524        149.2148
C[C@@H]1CC[C@H](C)C1                                         -93.2540        -136.4798        49.1547         332.3188        125.6031
C[C@@H]1CC[C@H](C)O1                                         -214.8491       -253.2052       -82.3655         348.1007        121.5923
C[C@@H]1CC[C@H]1C                                            -0.2627         -38.5279         107.6020        328.3979        109.8014
C[C@@H]1CO1                                                  -80.5817        -95.3989        -26.4733         280.6624        62.3788
C[C@@H]1C[C@@H]1C                                             23.7236        -6.5803          106.7812        301.8838        94.3428
C[C@@H]1C[C@H]1C                                              23.7236        -6.5803          106.7812        301.8838        94.3428
C[C@@H]1O[C@@H]1C                                            -90.0121        -123.5640       -20.4625         302.4560        87.4339
C[C@@H]1O[C@H]1C                                             -90.0121        -123.5640       -20.4625         302.4560        87.4339
C[C@H](O)CCO                                                 -417.8189       -450.7535       -296.6919        364.7949        116.6200
C[C@H](O)CO                                                  -399.9375       -426.4773       -302.2326        328.3813        95.2981
C[C@H](O)[C@H](C)O                                           -432.7990       -465.2907       -308.5281        355.7357        118.6323
C[C@H]1CCCC[C@@H]1C                                          -121.2036       -173.6928        49.4488         342.9391        144.0167
C[C@H]1CCCC[C@H]1C                                           -121.2036       -173.6928        49.4488         342.9391        144.0167
C[C@H]1CCC[C@@H](C)C1                                        -133.1304       -181.9862        39.7960         347.4986        143.3434
C[C@H]1CCC[C@@H](O)C1                                        -267.3543       -320.5557       -112.0235        358.0997        138.3512
C[C@H]1CCC[C@@H]1C                                           -91.0336        -134.5295        53.4645         324.4052        126.0123
C[C@H]1CCC[C@H](C)C1                                         -133.1304       -181.9862        39.7960         347.4986        143.3434
C[C@H]1CCC[C@H]1C                                            -91.0336        -134.5295        53.4645         324.4052        126.0123
C[C@H]1CC[C@@H](C)CC1                                        -134.6121       -180.4085        37.3944         360.8456        143.8101
C[C@H]1CC[C@H](C)C1                                          -93.2540        -136.4798        49.1547         332.3188        125.6031
C[C@H]1CC[C@H](C)CC1                                         -134.6121       -180.4085        37.3944         360.8456        143.8101
C[C@H]1CC[C@H]1C                                             -0.2627         -38.5279         107.6020        328.3979        109.8014
C[C@H]1C[C@H](C)[C@@H](C)C1                                  -116.3630       -162.5650        52.7627         369.1475        148.1675
C[CH]=[C]=[CH2]                                               175.6549        161.8793        199.1488        289.9977        70.6709
C[CH]=[C]=[CH]C                                               153.7477        134.3602        203.3726        319.9515        92.2812
C[CH]=[C]=[C](C)C                                             125.1587        100.1803        198.6620        357.5305        115.9668
C[C](C)=[C]=[CH2]                                             147.7117        128.0748        198.1951        316.2353        93.8000
C[S](C)(=O)=O                                                -349.5306       -371.0229       -274.6124        317.3713        90.7760
C[S](C)=O                                                    -129.9227       -148.5786       -80.1857         308.7631        79.9687
C[S](Cl)(=O)=O                                               -361.6147       -375.2540       -307.0827        321.8664        80.3955
C[S](O)(=O)=O                                                -536.2830       -553.7107       -467.0363        316.1865        84.2982
C\1C\C=C/CC\C=C1                                              138.6578        101.8702        245.9020        346.9153        124.4645
C\C(Cl)=C/CCl                                                -55.0678        -72.2957         7.4849          370.4945        103.9548
C\C(Cl)=C\CCl                                                -55.0678        -72.2957         7.4849          370.4945        103.9548
C\C=C(/C)C(C)C                                               -47.1594        -85.5214         76.6826         410.9050        146.1839
C\C=C(/C)C=C                                                  76.2890         50.0433         148.9939        355.9583        114.0843
C\C=C/Br                                                      55.2929         40.9384         73.9209         309.4060        69.9512
C\C=C/C                                                       10.5412        -10.4756         64.9696         292.6353        77.4239
C\C=C/C#C                                                     266.8687        254.5834        287.0530        311.8364        86.7040
C\C=C/C#N                                                     160.2469        147.8240        189.2197        306.6233        77.4657
C\C=C/C(C)(C)C                                               -52.4918        -91.8856         76.7089         389.4713        146.8240
C\C=C/C(C)=C                                                  70.4569         43.9207         143.6814        353.2409        113.5069
C\C=C/C(C)C                                                  -25.9343        -59.1180         75.3414         367.5410        122.7451
C\C=C/C(O)=O                                                 -340.9811       -359.4836       -276.3690        341.3923        95.9718
C\C=C/C=C                                                     98.8746         78.4930         146.0394        324.8680        91.0346
C\C=C/C=C\C                                                   71.9723         45.9577         142.3488        364.5425        113.4692
C\C=C/CC(C)(C)C                                              -69.4180        -114.8697        82.0753         430.8033        169.0957
C\C=C/CC(C)C                                                 -41.4507        -80.8238         82.5353         407.0308        144.6193
C\C=C/CC=C                                                    101.3932        75.1261         170.0453        369.4793        113.5866
C\C=C/CO                                                     -132.0725       -154.6572       -61.4347         335.5901        94.2731
C\C=C/Cl                                                      3.7475         -9.4242          37.6426         297.5972        68.1814
C\C=C/F                                                      -155.5866       -169.3184       -121.7631        285.8148        64.3196
C\C=C/c1ccccc1                                                140.7358        120.3230        216.0712        383.9189        133.4706
C\C=C\Br                                                      55.2929         40.9384         73.9209         309.4060        69.9512
C\C=C\C                                                       10.5412        -10.4756         64.9696         292.6353        77.4239
Cc1c(C)c(C)c(C)c(C)c1C                                       -32.0384        -90.9146         134.8549        487.7655        220.6204
