Smiles                                                       TCIT_Cv    G4_Cv      Dev       
C[C@H]1CCCC[C@@H]1C                                          144.02     143.56     0.45      
C[C@H]1CCCC[C@H]1C                                           144.02     143.56     0.45      
C[C@H]1CCC[C@@H](C)C1                                        143.34     144.33     -0.99     
C[C@H]1CCC[C@@H](O)C1                                        138.35     138.52     -0.17     
C[C@H]1CCC[C@@H]1C                                           126.01     126.21     -0.20     
C[C@H]1CCC[C@H](C)C1                                         143.34     144.33     -0.99     
C[C@H]1CCC[C@H]1C                                            126.01     126.21     -0.20     
C[C@H]1CC[C@@H](C)CC1                                        143.81     144.25     -0.44     
C[C@H]1CC[C@H](C)C1                                          125.60     126.02     -0.41     
C[C@H]1CC[C@H](C)CC1                                         143.81     144.24     -0.43     
C[C@H]1CC[C@H]1C                                             109.80     109.53     0.27      
C[C@H]1C[C@H](C)[C@@H](C)C1                                  148.17     149.46     -1.30     
C\C=C/C=C\C                                                  113.47     113.41     0.05      
Cc1c(C)c(C)c(C)c(C)c1C                                       220.62     221.28     -0.66     
Cc1c(F)c(F)c(F)c(F)c1F                                       162.53     160.58     1.95      
Cc1cc(C)c(C)c(C)c1                                           172.02     173.12     -1.10     
Cc1cc(C)c(C)c(C)c1C                                          193.36     196.87     -3.51     
Cc1cc(C)c(C)cc1C                                             171.01     172.90     -1.89     
Cc1cc(C)cc(C)c1                                              152.51     149.43     3.08      
Cc1cc(C)cc(O)c1                                              147.18     143.28     3.90      
Cc1cc(C)nc(C)c1                                              143.09     142.80     0.29      
Cc1ccc(Br)cc1                                                115.49     116.10     -0.61     
Cc1ccc(C)c(C)c1                                              146.97     148.30     -1.33     
Cc1ccc(C)c(C)c1C                                             168.91     172.12     -3.21     
Cc1ccc(C)c(O)c1                                              141.16     142.92     -1.76     
Cc1ccc(C)cc1                                                 123.10     123.82     -0.72     
Cc1ccc(Cl)cc1                                                114.37     114.35     0.02      
Cc1ccc(Cl)cc1C                                               136.27     138.89     -2.62     
Cc1ccc(F)cc1                                                 110.90     110.51     0.40      
Cc1ccc(N)cc1                                                 121.88     123.09     -1.22     
Cc1ccc(O)c(C)c1                                              143.34     142.90     0.44      
Cc1ccc(O)cc1                                                 117.59     117.72     -0.12     
Cc1ccc(O)cc1C                                                141.26     142.22     -0.95     
Cc1cccc(C)c1                                                 125.26     123.83     1.43      
Cc1cccc(C)c1C                                                144.18     147.55     -3.38     
Cc1cccc(C)c1O                                                139.76     142.36     -2.60     
Cc1cccc(C)n1                                                 119.17     119.77     -0.61     
Cc1cccc(Cl)c1                                                114.74     114.35     0.40      
Cc1cccc(Cl)c1C                                               136.83     138.77     -1.94     
Cc1cccc(F)c1                                                 111.87     110.54     1.33      
Cc1cccc(N)c1                                                 122.57     123.25     -0.68     
Cc1cccc(O)c1                                                 119.91     117.75     2.16      
Cc1cccc(O)c1C                                                138.92     142.38     -3.46     
Cc1ccccc1                                                    98.37      98.34      0.03      
Cc1ccccc1C                                                   120.16     122.80     -2.64     
Cc1ccccc1C=C                                                 135.15     136.69     -1.55     
Cc1ccccc1C=O                                                 128.74     127.45     1.29      
Cc1ccccc1Cl                                                  113.83     113.81     0.02      
Cc1ccccc1F                                                   110.66     110.14     0.53      
Cc1ccccc1N                                                   120.27     121.93     -1.66     
Cc1ccccc1O                                                   116.61     117.22     -0.61     
Cc1ccccn1                                                    92.26      93.93      -1.67     
Cc1cccnc1                                                    92.50      93.60      -1.09     
Cc1ccnc(C)c1                                                 117.74     119.37     -1.64     
Cc1ccncc1                                                    93.24      93.57      -0.33     
Cc1ccncc1C                                                   115.89     118.08     -2.19     
Cc1cocc1                                                     84.56      81.98      2.58      
Cc1cscc1                                                     89.68      89.43      0.25      
Cc1occc1                                                     83.31      81.93      1.39      
Cc1sccc1                                                     89.15      89.37      -0.22     
Cc1sccc1C                                                    112.83     114.71     -1.89     
ClC(=O)c1ccccc1                                              117.97     117.46     0.51      
ClC1CCCCC1                                                   111.89     111.86     0.03      
ClCc1ccccc1                                                  110.68     110.82     -0.14     
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl                                 168.04     166.92     1.12      
Clc1ccccc1                                                   88.15      88.83      -0.69     
Clc1ccccc1Cl                                                 104.69     104.45     0.24      
Cn1cccc1                                                     85.25      85.32      -0.07     
FC(F)(F)c1ccccc1                                             130.24     127.28     2.96      
Fc1c(F)c(F)c(Cl)c(F)c1F                                      152.37     150.53     1.83      
