Smiles                                                       G4_S0      Exp_S0     Dev       
CCC(C)(C)OC                                                  406.56     408.00     -1.44     
CCC(C)(CC)CC                                                 441.48     425.00     16.48     
CCC(C)=C                                                     335.33     340.00     -4.67     
CCC(C)=C(C)C                                                 404.87     422.00     -17.13    
CCC(C)=O                                                     344.86     340.00     4.86      
CCC(C)Br                                                     354.18     362.00     -7.82     
CCC(C)C                                                      343.34     344.00     -0.66     
CCC(C)C#C                                                    358.28     364.00     -5.72     
CCC(C)C(C)(C)C                                               431.38     424.00     7.38      
CCC(C)C(C)C                                                  411.64     415.00     -3.36     
CCC(C)C=C                                                    373.46     377.00     -3.54     
CCC(C)C=O                                                    372.14     368.00     4.14      
CCC(C)CC                                                     383.91     383.00     0.91      
CCC(C)CF                                                     373.11     373.00     0.11      
CCC(C)O                                                      338.62     355.37     -16.75    
CCC(C=C)C(C)C                                                440.72     443.00     -2.28     
CCC(CC)(CC)CC                                                466.63     436.52     30.11     
CCC(CC)=C(C)C                                                433.53     471.00     -37.47    
CCC(CC)=CC                                                   408.69     408.00     0.69      
CCC(CC)C#C                                                   397.17     398.00     -0.83     
CCC(CC)C(C)=C                                                441.11     441.00     0.11      
CCC(CC)C(C)C                                                 448.05     444.00     4.05      
CCC(CC)C=C                                                   413.44     409.00     4.44      
CCC(CC)CC                                                    422.96     412.00     10.96     
CCC(CC)CO                                                    417.93     436.00     -18.07    
CCC(N)CO                                                     368.35     385.00     -16.65    
CCC(O)(CC)CC                                                 435.57     441.00     -5.43     
CCC(O)=O                                                     327.19     310.00     17.19     
CCC(O)CC                                                     377.48     382.00     -4.52     
CCC=C                                                        304.34     308.00     -3.66     
CCC=O                                                        302.34     305.00     -2.66     
CCCBr                                                        326.96     331.00     -4.04     
CCCC#C                                                       329.61     330.00     -0.39     
CCCC#N                                                       324.53     326.00     -1.47     
CCCC(C)(C)C                                                  407.95     393.00     14.95     
CCCC(C)=O                                                    381.31     379.00     2.31      
CCCC(C)Br                                                    394.72     392.00     2.72      
CCCC(C)C                                                     383.62     381.00     2.62      
CCCC(C)O                                                     379.47     392.00     -12.53    
CCCC(C)S                                                     393.46     406.00     -12.54    
CCCC(O)=O                                                    365.05     357.00     8.05      
CCCC=C                                                       345.02     347.00     -1.98     
CCCC=O                                                       341.88     344.80     -2.92     
CCCCC                                                        349.96     349.00     0.96      
CCCCN                                                        352.49     364.00     -11.51    
CCCCO                                                        351.61     362.00     -10.39    
CCCCS                                                        366.40     375.00     -8.60     
CCCCl                                                        315.30     317.00     -1.70     
CCCF                                                         304.21     304.00     0.21      
CCCN                                                         312.68     325.00     -12.32    
CCCO                                                         311.09     323.00     -11.91    
CCCOC                                                        351.22     352.00     -0.78     
CCCS                                                         325.82     337.00     -11.18    
CCC[C@H](C)O                                                 379.47     391.00     -11.53    
CCCl                                                         275.44     276.00     -0.56     
CCF                                                          264.09     265.00     -0.91     
CCN(CC)CC                                                    419.33     405.00     14.33     
CCNC                                                         312.24     336.00     -23.76    
CCNCC                                                        352.67     352.00     0.67      
CCO                                                          270.77     281.00     -10.23    
CCOC                                                         311.10     309.00     2.10      
CCOC(C)(C)C                                                  410.25     402.00     8.25      
CCOC(C)=O                                                    376.20     360.00     16.20     
CCOC=O                                                       330.48     328.00     2.48      
CCOCC                                                        352.08     342.20     9.88      
CCO[S](O)(=O)=O                                              387.08     360.00     27.08     
CCS                                                          286.62     294.00     -7.38     
CCSC                                                         331.15     333.00     -1.85     
CCSCC                                                        366.62     368.00     -1.38     
CC[C@@H](C)CBr                                               395.36     392.00     3.36      
CC[C@@H](C)Cl                                                342.61     360.00     -17.39    
CC[C@@H](C)O                                                 338.62     349.00     -10.38    
CC[C@H](C)CBr                                                395.36     386.00     9.36      
CC[C@H](C)N                                                  339.98     353.00     -13.02    
CC[C@H](C)S                                                  353.21     366.00     -12.79    
CC[CH]=[C]=[CH2]                                             330.06     335.00     -4.94     
CC[C](C)=[C]=[CH2]                                           362.40     366.00     -3.60     
CC[S](Cl)(=O)=O                                              361.29     341.00     20.29     
CC\C(C)=C/C                                                  375.42     379.00     -3.58     
CC\C(C)=C\C                                                  375.42     382.00     -6.58     
CC\C=C\C                                                     338.11     343.00     -4.89     
CCl                                                          234.36     234.00     0.36      
CF                                                           222.49     223.00     -0.51     
CN                                                           240.33     243.00     -2.67     
CN(C)C                                                       288.97     288.00     0.97      
CN(C)C(C)=O                                                  363.55     351.00     12.55     
CN(C)C=O                                                     326.50     326.00     0.50      
CN(C)CCO                                                     367.14     384.00     -16.86    
CNC                                                          271.80     272.00     -0.20     
CNC(=O)NC                                                    374.41     345.00     29.41     
CNC(C)=O                                                     346.43     320.00     26.43     
CNC(N)=O                                                     327.79     306.00     21.79     
CNC=O                                                        284.27     281.00     3.27      
CO                                                           237.95     240.00     -2.05     
COC(=O)C(C)=C                                                384.61     401.00     -16.39    
COC(=O)C=C                                                   352.97     366.00     -13.03    
COC(=O)CCl                                                   374.08     373.00     1.08      
COC(=O)OC                                                    355.05     322.00     33.05     
COC(C)(C)C                                                   368.15     357.80     10.35     
COC(C)C                                                      341.69     342.00     -0.31     
COC(C)OC                                                     373.48     373.00     0.48      
COC=C                                                        294.91     308.00     -13.09    
COC=O                                                        299.64     291.00     8.64      
COCCO                                                        343.66     359.00     -15.34    
COCOC                                                        339.93     336.00     3.93      
CON=O                                                        290.23     285.00     5.23      
COO                                                          269.56     279.00     -9.44     
CS                                                           253.80     255.00     -1.20     
CSC                                                          284.58     286.00     -1.42     
CSC(C)C                                                      358.84     361.00     -2.16     
CSSC                                                         338.30     336.00     2.30      
C[C@@H](O)CCO                                                364.79     375.00     -10.21    
C[C@@H](O)CN                                                 334.38     363.00     -28.62    
C[C@H](O)CCO                                                 364.79     375.00     -10.21    
C[C@H](O)CO                                                  328.38     308.00     20.38     
C[C@H](O)[C@H](C)O                                           355.74     375.00     -19.26    
C[CH]=[C]=[CH2]                                              290.00     293.00     -3.00     
C[CH]=[C]=[CH]C                                              319.95     329.00     -9.05     
C[CH]=[C]=[C](C)C                                            357.53     364.00     -6.47     
C[C](C)=[C]=[CH2]                                            316.24     322.00     -5.76     
C[S](C)(=O)=O                                                317.37     311.00     6.37      
C[S](C)=O                                                    308.76     306.00     2.76      
C[S](Cl)(=O)=O                                               321.87     313.00     8.87      
C\1C\C=C/CC\C=C1                                             346.92     351.00     -4.08     
C\C(Cl)=C/CCl                                                370.49     353.00     17.49     
C\C=C(/C)C=C                                                 355.96     374.00     -18.04    
C\C=C/C                                                      292.64     301.00     -8.36     
C\C=C/C#C                                                    311.84     300.00     11.84     
C\C=C/C(C)=C                                                 353.24     374.00     -20.76    
C\C=C/C(C)C                                                  367.54     373.00     -5.46     
C\C=C/C(O)=O                                                 341.39     359.00     -17.61    
C\C=C/C=C                                                    324.87     323.00     1.87      
C\C=C/Cl                                                     297.60     300.00     -2.40     
C\C=C/F                                                      285.81     298.00     -12.19    
C\C=C\C                                                      292.64     296.00     -3.36     
Cl                                                           186.59     186.90     -0.31     
ClBr                                                         239.96     239.99     -0.03     
ClC#C                                                        241.54     242.00     -0.46     
ClC#CCl                                                      239.72     272.03     -32.31    
ClC#N                                                        226.49     236.00     -9.51     
ClC(=O)C(Cl)(Cl)Cl                                           386.20     365.00     21.20     
ClC(Cl)(Cl)C#N                                               333.88     337.00     -3.12     
ClC(Cl)(Cl)C(Cl)(Cl)Cl                                       400.59     398.00     2.59      
ClC(Cl)(Cl)C=O                                               358.40     349.00     9.40      
ClC(Cl)(Cl)Cl                                                311.19     310.00     1.19      
ClC(Cl)=C                                                    288.25     289.00     -0.75     
ClC(Cl)=C(Cl)Cl                                              342.00     341.00     1.00      
ClC(Cl)=O                                                    283.93     284.00     -0.07     
ClC(Cl)C(Cl)(Cl)Cl                                           393.39     382.00     11.39     
ClC(Cl)C(Cl)Cl                                               365.69     360.00     5.69      
ClC(Cl)Cl                                                    296.56     296.00     0.56      
ClC/C=C/Cl                                                   338.42     338.00     0.42      
ClC=C                                                        263.87     271.00     -7.13     
ClC=C(Cl)Cl                                                  325.35     325.00     0.35      
ClCBr                                                        288.13     287.00     1.13      
ClCC#C                                                       291.37     288.00     3.37      
ClCC(Cl)(Cl)Cl                                               367.65     356.00     11.65     
ClCC(Cl)C=C                                                  374.60     371.00     3.60      
ClCC(Cl)CCl                                                  380.56     383.00     -2.44     
ClCC=C                                                       305.70     307.00     -1.30     
ClCC=O                                                       305.86     304.00     1.86      
ClCCCCl                                                      347.94     368.00     -20.06    
ClCCCl                                                       310.31     308.00     2.31      
ClCCl                                                        270.62     270.00     0.62      
ClCl                                                         217.18     223.08     -5.90     
ClOCl                                                        268.14     267.89     0.25      
ClSCl                                                        282.42     281.60     0.82      
ClSSCl                                                       325.06     327.19     -2.13     
Cl\C=C/Cl                                                    290.83     290.00     0.83      
Cl\C=C\Cl                                                    290.83     290.00     0.83      
F                                                            173.52     173.78     -0.26     
F/N=N/F                                                      269.63     262.63     7.00      
F/N=N\F                                                      269.63     259.80     9.83      
FBr                                                          228.69     228.93     -0.24     
FC#C                                                         209.69     232.00     -22.31    
FC#CF                                                        250.85     244.06     6.79      
FC#N                                                         223.09     225.00     -1.91     
FC(C(F)(F)F)C(F)(F)F                                         415.49     394.00     21.49     
FC(Cl)(Cl)C(Cl)(Cl)Cl                                        406.19     392.00     14.19     
FC(Cl)(Cl)C(F)(Cl)Cl                                         391.79     386.00     5.79      
FC(Cl)(Cl)Cl                                                 311.06     310.00     1.06      
FC(Cl)Br                                                     305.98     304.00     1.98      
FC(Cl)C(F)(F)Cl                                              364.77     358.00     6.77      
FC(Cl)C(F)(F)F                                               353.77     349.00     4.77      
FC(Cl)Cl                                                     293.90     293.25     0.65      
FC(F)(Cl)Br                                                  320.28     318.00     2.28      
FC(F)(Cl)C(F)(Cl)Cl                                          387.79     387.00     0.79      
FC(F)(Cl)C(F)(F)Cl                                           372.74     364.00     8.74      
FC(F)(Cl)Cl                                                  302.23     301.00     1.23      
FC(F)(F)Br                                                   298.50     297.00     1.50      
FC(F)(F)C(=O)C(F)(F)F                                        411.25     393.00     18.25     
FC(F)(F)C(Cl)(Cl)Cl                                          377.64     370.00     7.64      
FC(F)(F)C(Cl)Br                                              374.80     366.00     8.80      
FC(F)(F)C(Cl)Cl                                              363.39     353.00     10.39     
FC(F)(F)C(F)(Cl)Cl                                           377.82     367.00     10.82     
FC(F)(F)C(F)(F)C(F)(F)F                                      425.34     414.00     11.34     
FC(F)(F)C(F)(F)Cl                                            368.19     358.00     10.19     
FC(F)(F)C(F)(F)F                                             342.86     334.00     8.86      
FC(F)(F)CC(F)(F)F                                            390.39     381.00     9.39      
FC(F)(F)CCl                                                  336.05     327.00     9.05      
FC(F)(F)Cl                                                   286.24     285.35     0.89      
FC(F)(F)F                                                    261.97     262.00     -0.03     
FC(F)=C                                                      270.69     266.00     4.69      
FC(F)=C(F)Br                                                 334.22     335.00     -0.78     
FC(F)=C(F)Cl                                                 322.32     322.00     0.32      
FC(F)=C(F)F                                                  300.15     300.00     0.15      
FC(F)=CCl                                                    303.06     303.00     0.06      
FC(F)=O                                                      258.88     259.00     -0.12     
FC(F)Br                                                      293.79     295.00     -1.21     
FC(F)C(F)(F)F                                                343.67     332.00     11.67     
FC(F)C(F)C(F)(F)F                                            400.02     394.00     6.02      
FC(F)C(F)F                                                   323.44     320.00     3.44      
FC(F)CC(F)(F)F                                               381.95     383.00     -1.05     
FC(F)Cl                                                      281.64     281.00     0.64      
FC(F)F                                                       259.72     260.00     -0.28     
FC=C(F)F                                                     292.61     292.00     0.61      
FC=O                                                         246.50     247.00     -0.50     
FCC(Cl)(Cl)Cl                                                357.81     350.00     7.81      
FCC(F)(F)C(F)F                                               384.12     384.00     0.12      
FCC=C                                                        293.55     300.00     -6.45     
FCCF                                                         287.98     289.00     -1.02     
FCCl                                                         264.65     264.00     0.65      
FCF                                                          246.50     247.00     -0.50     
FCl                                                          217.74     217.91     -0.17     
FF                                                           196.24     202.80     -6.56     
FN(F)F                                                       260.68     260.77     -0.09     
FN(F)N(F)F                                                   315.80     301.18     14.62     
FOF                                                          246.47     247.46     -0.99     
FS(F)=S                                                      294.20     292.80     1.40      
FSF                                                          258.35     257.70     0.65      
FSSF                                                         303.78     293.98     9.80      
N                                                            192.36     192.77     -0.41     
N#CBr                                                        247.21     248.35     -1.14     
N#CC#N                                                       236.81     241.57     -4.76     
N#CC(F)(F)F                                                  298.33     298.53     -0.20     
N#CCC#N                                                      289.34     288.00     1.34      
N#N                                                          185.70     197.65     -11.95    
N=C=O                                                        238.49     238.00     0.49      
N=C=S                                                        250.27     248.00     2.27      
N=O                                                          220.62     220.72     -0.10     
NC(=O)C=C                                                    321.98     301.00     20.98     
NC(N)=O                                                      273.14     267.00     6.14      
NC(N)=S                                                      287.25     303.00     -15.75    
NC=O                                                         261.08     249.00     12.08     
NCC(F)(F)F                                                   331.69     298.00     33.69     
NCC(O)=O                                                     324.51     330.00     -5.49     
NCCCN                                                        346.85     367.00     -20.15    
NCCCO                                                        333.95     367.00     -33.05    
NCCN                                                         306.33     322.00     -15.67    
NN                                                           224.86     239.00     -14.14    
NO                                                           234.96     236.00     -1.04     
O                                                            188.69     188.84     -0.15     
O=C(F)Cl                                                     277.13     277.01     0.12      
O=C=C=C=O                                                    244.37     276.07     -31.70    
O=C=O                                                        213.55     214.00     -0.45     
O=CC=O                                                       279.81     272.00     7.81      
O=NBr                                                        273.06     273.53     -0.47     
O=NCl                                                        261.17     261.68     -0.51     
O=NF                                                         247.17     248.08     -0.91     
O=NO                                                         247.94     249.41     -1.47     
O=O                                                          190.06     205.15     -15.09    
O=S                                                          212.81     221.94     -9.13     
O=S(=O)(Cl)Cl                                                314.54     311.09     3.45      
O=S(=O)(F)Cl                                                 305.71     302.84     2.87      
O=S(=O)(F)F                                                  285.57     283.61     1.96      
O=S(=O)(O)F                                                  297.40     297.26     0.14      
O=S(=O)(O)O                                                  316.63     298.78     17.85     
O=S(=O)=O                                                    257.24     256.77     0.47      
O=S(F)F                                                      280.37     279.13     1.24      
O=S=O                                                        242.58     248.22     -5.63     
O=S=S                                                        267.31     266.89     0.42      
OC(=O)C(F)(F)F                                               347.52     333.00     14.52     
OC(CCl)CCl                                                   374.44     403.00     -28.56    
OC=O                                                         249.00     249.00     -0.00     
OCC#C                                                        287.20     293.00     -5.80     
OCC(Cl)CCl                                                   374.96     396.00     -21.04    
OCC(O)CCl                                                    368.96     408.00     -39.04    
OCCC#N                                                       322.04     331.00     -8.96     
OCCCCl                                                       349.73     363.00     -13.27    
OCCCO                                                        333.55     358.00     -24.45    
OCCCl                                                        307.80     321.00     -13.20    
OCCO                                                         301.45     311.84     -10.39    
OCCS                                                         314.90     326.00     -11.10    
OCl                                                          236.48     236.50     -0.02     
OF                                                           226.23     226.77     -0.54     
OO                                                           221.67     232.95     -11.28    
S                                                            205.65     205.79     -0.14     
S=C=S                                                        228.24     238.00     -9.76     
SCCS                                                         338.44     345.00     -6.56     
[CH2]=[C]=[CH2]                                              242.48     244.00     -1.52     
[nH]1cccc1                                                   276.29     271.00     5.29      
c1ccccc1                                                     268.92     269.00     -0.08     
c1ccncc1                                                     281.96     283.00     -1.04     
c1cncnc1                                                     280.80     282.00     -1.20     
o1cccc1                                                      267.01     267.00     0.01      
o1ccnc1                                                      270.18     271.00     -0.82     
s1cccc1                                                      278.61     279.00     -0.39     
FS(F)(F)F                                                    296.55     299.64     -3.09     
FS(F)(F)(F)(F)F                                              294.53     291.52     3.01      
FS(F)(F)(F)(F)Cl                                             324.49     319.90     4.59      
Brc1ccccc1                                                   325.92     325.00     0.92      
C/C=C/C=C/C                                                  352.76     361.00     -8.24     
C/C=C/C=C\C                                                  352.76     357.00     -4.24     
C=C1CC(=O)O1                                                 304.77     306.00     -1.23     
C=C1CCC1                                                     300.45     298.90     1.55      
C=CCCC=C                                                     376.96     373.00     3.96      
C=Cc1ccccc1                                                  355.47     345.00     10.47     
CC(=C)c1ccccc1                                               378.53     372.00     6.53      
CC(=O)c1ccccc1                                               374.63     385.00     -10.37    
CC(C)(C)SSC(C)(C)C                                           505.66     500.00     5.66      
CC(C)(C)c1ccccc1                                             408.27     396.00     12.27     
CC(C)CC(=O)CC(C)C                                            510.38     509.00     1.38      
CC(C)CCC(C)C                                                 445.60     442.00     3.60      
CC(C)c1ccc(C)c(O)c1                                          447.39     450.00     -2.61     
CC(C)c1ccccc1                                                391.02     388.00     3.02      
CC(C)c1ccccc1O                                               406.73     417.00     -10.27    
CC1(C)CC1                                                    305.24     308.00     -2.76     
CC1(C)CCCC1                                                  356.98     359.00     -2.02     
CC1(C)CCCCC1                                                 365.52     365.00     0.52      
CC1=CC(=O)OC1=O                                              346.77     380.00     -33.23    
CC1=CC=CC1                                                   313.73     318.00     -4.27     
CC1=CCCC1                                                    323.35     326.00     -2.65     
CC1CC1                                                       283.52     286.00     -2.48     
CC1CC=CC1                                                    319.87     329.00     -9.13     
CC1CCC1                                                      306.06     295.00     11.06     
CC1CCC=C1                                                    320.33     331.00     -10.67    
