Smiles                                                       TCIT_S0    G4_S0      Dev       
CN1CCCC1                                                     335.19     329.69     5.50      
CN1CCCCC1                                                    341.86     338.87     2.99      
CNc1ccccc1                                                   356.34     357.47     -1.13     
COC(=O)c1ccccc1                                              408.51     407.41     1.10      
COC1CCCCO1                                                   368.07     373.18     -5.11     
COc1ccc(C(=O)O)cc1                                           430.94     423.54     7.40      
COc1ccc(O)cc1                                                374.48     376.30     -1.81     
COc1ccccc1                                                   356.04     351.68     4.36      
CSc1ccccc1                                                   381.51     374.25     7.26      
C[C@@H]1CCC[C@H](O)C1                                        358.10     365.70     -7.60     
C[C@@H]1CCC[C@H]1C                                           324.41     359.50     -35.09    
C[C@@H]1CC[C@@H](C)C1                                        332.32     363.49     -31.17    
C[C@@H]1CC[C@H](C)C1                                         332.32     363.49     -31.17    
C[C@@H]1CC[C@H]1C                                            328.40     330.76     -2.37     
C[C@@H]1CO1                                                  280.66     280.16     0.50      
C[C@@H]1C[C@@H]1C                                            301.88     309.38     -7.49     
C[C@@H]1C[C@H]1C                                             301.88     309.38     -7.49     
C[C@H]1CCCC[C@@H]1C                                          342.94     368.14     -25.20    
C[C@H]1CCCC[C@H]1C                                           342.94     368.14     -25.20    
C[C@H]1CCC[C@@H](C)C1                                        347.50     371.38     -23.89    
C[C@H]1CCC[C@@H](O)C1                                        358.10     365.70     -7.60     
C[C@H]1CCC[C@@H]1C                                           324.41     358.89     -34.49    
C[C@H]1CCC[C@H](C)C1                                         347.50     371.38     -23.89    
C[C@H]1CCC[C@H]1C                                            324.41     359.50     -35.09    
C[C@H]1CC[C@@H](C)CC1                                        360.85     365.46     -4.62     
C[C@H]1CC[C@H](C)C1                                          332.32     363.49     -31.17    
C[C@H]1CC[C@H](C)CC1                                         360.85     365.45     -4.61     
C[C@H]1CC[C@H]1C                                             328.40     330.76     -2.37     
C[C@H]1C[C@H](C)[C@@H](C)C1                                  369.15     392.37     -23.22    
C\C=C/C=C\C                                                  364.54     352.76     11.78     
Cc1c(C)c(C)c(C)c(C)c1C                                       487.77     483.52     4.25      
Cc1c(F)c(F)c(F)c(F)c1F                                       431.36     430.19     1.17      
Cc1cc(C)c(C)c(C)c1                                           434.21     436.11     -1.90     
Cc1cc(C)c(C)c(C)c1C                                          461.09     456.32     4.77      
Cc1cc(C)c(C)cc1C                                             413.64     408.04     5.59      
Cc1cc(C)cc(C)c1                                              423.36     422.33     1.03      
Cc1cc(C)cc(O)c1                                              412.03     410.75     1.28      
Cc1cc(C)nc(C)c1                                              413.80     419.96     -6.16     
Cc1ccc(Br)cc1                                                399.82     380.89     18.92     
Cc1ccc(C)c(C)c1                                              393.04     402.81     -9.77     
Cc1ccc(C)c(C)c1C                                             420.23     416.90     3.32      
Cc1ccc(C)c(O)c1                                              390.26     395.16     -4.90     
Cc1ccc(C)cc1                                                 376.50     390.00     -13.49    
Cc1ccc(Cl)cc1                                                389.33     369.39     19.93     
Cc1ccc(Cl)cc1C                                               380.99     384.70     -3.71     
Cc1ccc(F)cc1                                                 362.95     358.56     4.39      
Cc1ccc(N)cc1                                                 358.15     365.40     -7.26     
Cc1ccc(O)c(C)c1                                              390.06     396.84     -6.78     
Cc1ccc(O)cc1                                                 362.79     363.54     -0.76     
Cc1ccc(O)cc1C                                                384.35     377.74     6.61      
Cc1cccc(C)c1                                                 380.03     382.47     -2.43     
Cc1cccc(C)c1C                                                387.94     388.59     -0.65     
Cc1cccc(C)c1O                                                377.47     379.00     -1.52     
Cc1cccc(C)n1                                                 353.91     366.99     -13.08    
Cc1cccc(Cl)c1                                                370.30     363.71     6.59      
Cc1cccc(Cl)c1C                                               378.21     387.88     -9.67     
Cc1cccc(F)c1                                                 364.13     362.52     1.60      
Cc1cccc(N)c1                                                 361.45     363.08     -1.63     
Cc1cccc(O)c1                                                 369.10     359.48     9.62      
Cc1cccc(O)c1C                                                367.12     381.09     -13.98    
Cc1ccccc1                                                    335.18     337.32     -2.15     
Cc1ccccc1C                                                   354.48     348.31     6.17      
Cc1ccccc1C=C                                                 381.99     380.28     1.71      
Cc1ccccc1C=O                                                 383.20     371.63     11.57     
Cc1ccccc1Cl                                                  347.77     351.72     -3.95     
Cc1ccccc1F                                                   343.97     344.19     -0.22     
Cc1ccccc1N                                                   347.60     346.43     1.18      
Cc1ccccc1O                                                   345.47     346.18     -0.71     
Cc1ccccn1                                                    303.28     329.91     -26.63    
Cc1cccnc1                                                    320.66     329.62     -8.95     
Cc1ccnc(C)c1                                                 368.15     378.38     -10.24    
Cc1ccncc1                                                    322.09     335.00     -12.91    
Cc1ccncc1C                                                   345.41     352.97     -7.56     
Cc1cocc1                                                     308.14     308.23     -0.09     
Cc1cscc1                                                     325.07     320.69     4.38      
Cc1occc1                                                     306.20     308.36     -2.16     
Cc1sccc1                                                     320.65     322.11     -1.46     
Cc1sccc1C                                                    358.88     367.35     -8.46     
ClC(=O)c1ccccc1                                              374.90     374.64     0.26      
ClC1CCCCC1                                                   324.90     343.62     -18.72    
ClCc1ccccc1                                                  363.11     366.75     -3.64     
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl                                 467.00     440.74     26.26     
Clc1ccccc1                                                   317.91     314.11     3.80      
Clc1ccccc1Cl                                                 334.51     343.01     -8.49     
Cn1cccc1                                                     309.19     314.21     -5.01     
FC(F)(F)c1ccccc1                                             384.46     387.97     -3.51     
Fc1c(F)c(F)c(Cl)c(F)c1F                                      402.25     408.24     -5.99     
Fc1c(F)c(F)c(F)c(F)c1F                                       398.51     384.44     14.08     
Fc1cc(F)c(F)c(F)c1F                                          391.76     378.74     13.02     
Fc1ccccc1                                                    318.81     302.33     16.48     
Fc1ccccc1F                                                   328.24     321.22     7.02      
N#CC#CC#N                                                    281.01     251.59     29.42     
N#CCCC#N                                                     340.97     329.66     11.31     
N#C\C=C/C#N                                                  320.61     309.19     11.42     
N#C\C=C\C#N                                                  320.61     309.19     11.42     
N#Cc1ccccc1                                                  330.39     323.71     6.67      
NC(Cc1ccccc1)C(O)=O                                          479.85     472.31     7.53      
NC1CC1                                                       283.56     279.73     3.83      
NC1CCCCC1                                                    326.03     339.87     -13.83    
NCc1ccccc1                                                   360.46     360.62     -0.16     
NNc1ccccc1                                                   349.33     351.38     -2.05     
N[C@@H](Cc1ccccc1)C(O)=O                                     479.85     472.31     7.53      
Nc1cccc(N)c1                                                 348.33     344.04     4.29      
Nc1ccccc1                                                    316.69     316.87     -0.18     
O=C(O)c1ccccc1                                               363.65     362.28     1.37      
O=C1C=CC(=O)C=C1                                             324.67     321.73     2.93      
O=C1CC1                                                      267.82     265.70     2.12      
O=C1CCC1                                                     291.77     298.93     -7.16     
O=C1CCCC1                                                    289.59     308.75     -19.16    
O=C1CCCCC1                                                   304.77     334.18     -29.40    
O=C1CCCCCC1                                                  349.78     362.72     -12.94    
O=C1CCCCCCC1                                                 383.06     377.61     5.45      
O=C1CCCCCN1                                                  363.01     356.42     6.60      
O=C1CCCN1                                                    329.58     310.95     18.63     
O=C1CCCO1                                                    306.71     306.82     -0.11     
O=C1CCO1                                                     292.21     285.20     7.01      
O=C1OC(=O)C=C1                                               305.22     304.47     0.74      
O=C1OCCO1                                                    294.65     297.70     -3.05     
O=Cc1ccccc1                                                  346.18     342.05     4.13      
O=Cc1occc1                                                   323.86     325.64     -1.78     
O=c1occo1                                                    282.91     283.77     -0.86     
OC1=CC=CC1                                                   307.22     303.36     3.86      
OC1=CCC=C1                                                   296.57     302.51     -5.94     
OC1CC1                                                       279.17     277.72     1.44      
OC1CCCC1                                                     311.71     326.81     -15.09    
OC1CCCCC1                                                    322.83     338.15     -15.32    
OCC1CCCO1                                                    359.50     358.62     0.87      
OCCCCCCO                                                     478.85     468.15     10.70     
OCCCCCO                                                      436.98     427.86     9.12      
OCCCCO                                                       395.11     382.25     12.87     
OCCOCCOCCO                                                   532.93     535.70     -2.78     
OC[C@@H]1CCCO1                                               359.50     358.62     0.87      
OCc1ccccc1                                                   354.85     358.84     -3.99     
OCc1occc1                                                    340.42     344.87     -4.45     
Oc1c(F)c(F)c(F)c(F)c1F                                       417.31     408.62     8.68      
Oc1ccc(Cl)cc1                                                351.43     343.20     8.23      
Oc1ccc(O)cc1                                                 335.27     331.93     3.34      
Oc1cccc(Cl)c1                                                351.01     342.86     8.15      
Oc1cccc(O)c1                                                 340.28     329.97     10.31     
Oc1ccccc1                                                    312.46     312.68     -0.22     
Oc1ccccc1O                                                   325.80     337.22     -11.42    
SC1CCCCC1                                                    339.43     353.74     -14.31    
SCc1ccccc1                                                   377.34     375.58     1.77      
Sc1ccccc1                                                    337.15     335.76     1.39      
