Smiles                                                       TCIT_Gf    G4_Gf      Dev       
CCOC(=O)C(=O)OCC                                             -584.95    -570.78    -14.17    
CCOC(=O)CC                                                   -324.09    -323.33    -0.76     
CCOC(=O)OCC                                                  -473.73    -476.21    2.49      
CCOC(C)OCC                                                   -263.83    -251.30    -12.53    
CCOCCOCC                                                     -205.43    -210.88    5.45      
CCOCOCC                                                      -231.83    -244.87    13.05     
CCOc1ccccc1                                                  27.46      16.38      11.07     
CCSSCC                                                       16.51      17.42      -0.91     
CC\C=C(C)/CC                                                 81.62      81.84      -0.22     
CC\C=C/CC                                                    80.36      87.03      -6.67     
CC\C=C\CC                                                    80.36      80.10      0.26      
CCc1ccc(C)cc1                                                125.67     121.48     4.19      
CCc1ccc(O)cc1                                                -17.67     -22.94     5.28      
CCc1cccc(C)c1                                                132.80     120.62     12.18     
CCc1cccc(O)c1                                                -21.42     -24.84     3.42      
CCc1ccccc1                                                   128.78     127.77     1.01      
CCc1ccccc1C                                                  133.40     129.98     3.42      
CCc1ccccc1O                                                  -16.77     -21.87     5.10      
CCc1cccnc1                                                   200.44     190.70     9.74      
CCc1sccc1                                                    121.94     123.93     -1.98     
CN(C)c1ccccc1                                                237.85     238.71     -0.86     
CN1CCCC1                                                     140.49     137.46     3.04      
CN1CCCCC1                                                    131.59     131.32     0.27      
CNc1ccccc1                                                   203.72     202.44     1.28      
COC(=O)c1ccccc1                                              -164.41    -169.48    5.07      
COC1CCCCO1                                                   -207.21    -207.88    0.67      
COc1ccc(C(=O)O)cc1                                           -308.55    -320.97    12.42     
COc1ccc(O)cc1                                                -121.49    -122.91    1.42      
COc1ccccc1                                                   32.18      22.25      9.93      
CSc1ccccc1                                                   157.96     156.99     0.97      
C[C@@H]1CCC[C@H](O)C1                                        -112.02    -115.03    3.01      
C[C@@H]1CCC[C@H]1C                                           53.46      41.23      12.23     
C[C@@H]1CC[C@@H](C)C1                                        49.15      41.61      7.54      
C[C@@H]1CC[C@H](C)C1                                         49.15      41.61      7.54      
C[C@@H]1CC[C@H]1C                                            107.60     106.71     0.89      
C[C@@H]1CO1                                                  -26.47     -26.36     -0.11     
C[C@@H]1C[C@@H]1C                                            106.78     107.06     -0.28     
C[C@@H]1C[C@H]1C                                             106.78     107.06     -0.28     
